# runtime=go1.17.13 darwin/arm64 mode=grow-from-cap n=5000 start_cap=1024
# grow-from-cap
idx,append_index,len,cap,bytes,growth
0,0,1024,1024,1024,-
1,1,1025,1280,1280,1.2500
2,257,1281,1792,1792,1.4000
3,769,1793,2304,2304,1.2857
4,1281,2305,3072,3072,1.3333
5,2049,3073,4096,4096,1.3333
6,3073,4097,5376,5376,1.3125
7,4353,5377,6784,6784,1.2619
# SUMMARY grow-from-cap
go_version=go1.17.13
goos=darwin
goarch=arm64
growth_events=7
final_len=5377
final_cap=6784
final_bytes=6784
