# runtime=go1.17.13 darwin/arm64 mode=append n=5000 start_cap=1024
# append-byte-growth
idx,append_index,len,cap,bytes,growth
0,0,0,0,0,-
1,1,1,8,8,-
2,9,9,16,16,2.0000
3,17,17,32,32,2.0000
4,33,33,64,64,2.0000
5,65,65,128,128,2.0000
6,129,129,256,256,2.0000
7,257,257,512,512,2.0000
8,513,513,1024,1024,2.0000
9,1025,1025,1280,1280,1.2500
10,1281,1281,1792,1792,1.4000
11,1793,1793,2304,2304,1.2857
12,2305,2305,3072,3072,1.3333
13,3073,3073,4096,4096,1.3333
14,4097,4097,5376,5376,1.3125
# SUMMARY append-byte-growth
go_version=go1.17.13
goos=darwin
goarch=arm64
growth_events=14
final_len=4097
final_cap=5376
final_bytes=5376
