timestamp,cpu_pct,rss_kb
1776557898,0.0,12768
1776557903,337.8,25376
1776557909,332.5,26096
1776557914,327.3,33056
1776557919,330.7,33536
1776557924,330.0,34032
1776557929,327.8,35040
1776557934,337.0,35040
1776557939,324.7,35056
1776557944,327.3,35248
1776557949,332.9,35248
1776557954,333.4,35264
1776557959,185.4,35488
